Child,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,
2008,100,100,0,100,100,0,0,100,0,0,0,0,0,100,100,0,0,0,,
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,,
2019,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2020,100,100,100,100,100,100,100,0,100,100,50,0,0,100,100,0,0,0,,
2026,100,50,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,,
2039,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2064,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2065,0,0,100,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,,
2067,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2077,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2082,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,,
2087,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2089,0,0,0,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,,
2090,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2101,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,,
2144,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2145,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,
2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2172,100,100,100,100,100,100,100,100,100,0,0,100,100,100,100,0,100,100,,
2173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2176,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2185,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2190,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2191,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2192,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2199,0,0,0,100,100,0,100,0,0,100,0,100,100,100,100,100,100,0,,
2203,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,,
2206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2215,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2224,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2227,0,50,100,100,100,0,0,0,100,100,100,100,100,100,100,100,100,100,,
2231,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2240,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2241,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2248,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,0,0,0,,
2249,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,0,0,0,,
2252,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2259,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2261,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2268,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2269,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,
2271,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2281,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2284,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2285,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2288,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2296,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2318,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,,
2327,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,0,0,0,,
2332,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2333,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2340,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2351,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2352,0,0,0,0,0,100,100,100,100,100,50,100,100,100,100,100,100,0,,
2353,0,0,0,100,0,100,100,100,0,100,100,0,100,100,100,0,0,100,,
2356,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2359,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2368,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2372,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2397,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2398,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2400,100,100,100,100,100,100,100,0,100,0,0,100,100,100,100,0,0,0,,
2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2407,0,100,100,100,100,100,100,0,0,100,100,100,0,100,100,100,100,100,,
2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2423,0,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2425,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,,
2431,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2433,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2436,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2442,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2445,0,0,0,0,0,100,100,100,100,100,100,0,100,100,100,100,100,100,,
2446,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2452,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2459,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,,
2465,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,,
2473,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,,
2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2488,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2489,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,,
2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2498,100,0,0,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,,
2501,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2512,100,100,100,100,100,0,0,0,0,0,0,0,0,100,100,0,0,0,,
2517,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2525,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2528,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2567,100,100,100,100,100,100,100,100,100,0,100,0,0,100,100,0,0,100,,
2568,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2572,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,0,,
2578,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2582,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,100,100,0,,
2588,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2592,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2593,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,
2599,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2609,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2610,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,,
2612,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,,
2616,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,0,0,,
2620,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,,
2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2636,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2638,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,,
2647,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2648,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2656,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2657,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2664,100,100,100,0,100,100,100,100,0,100,0,0,100,100,100,100,100,100,,
2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2671,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,,
2680,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2681,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2683,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,,
2686,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,,
2693,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,,
2703,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2705,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,0,0,0,,
2710,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2713,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2717,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,,
2720,100,100,100,0,100,0,0,100,0,0,0,100,100,100,100,0,0,0,,
2754,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2778,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,,
2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2837,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2838,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2842,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,,
2843,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
2080,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
